Character Name	Corp
Hyela Plata	dude where's my citadel
Hoji Argent	Cynosural Surveillance Services
Hilda Zilber	Cynosural Surveillance Services
Gamab Plata	Cynosural Surveillance Services
Gama Argent	Cynosural Surveillance Services
Gabriel Zilber	Cynosural Surveillance Services
Fugen Argent	Cynosural Surveillance Services
Frances Zilber	Cynosural Surveillance Services
Faro Plata	Cynosural Surveillance Services
Epunamun Zilber	Cynosural Surveillance Services
Emma Argent	Cynosural Surveillance Services
Ekurana Plata	Cynosural Surveillance Services
Driado Zilber	Cynosural Surveillance Services
Damball Plata	Cynosural Surveillance Services
Daikoku Argent	Cynosural Surveillance Services
Chukwa Plata	Cynosural Surveillance Services
Celia Zilber	Cynosural Surveillance Services
Cain Argent	Cynosural Surveillance Services
Bishamon Argent	Cynosural Surveillance Services
Beatrice Zilber	Cynosural Surveillance Services
Babalu Plata	Cynosural Surveillance Services
Asase Plata	Cynosural Surveillance Services
Arturo Zilber	Cynosural Surveillance Services
Amatsu Argent	Cynosural Surveillance Services
